source_table,target_table,fk_count,sample_source_columns
Crm.Mortgages,Crm.Mortgages,1,ParentUid
Crm.Mortgages,Crm.Users,3,"CreatedBy, DeletedBy, UpdatedBy"
Crm.Nationalities,Crm.Users,3,"CreatedBy, DeletedBy, UpdatedBy"
Crm.NotaryLists,Crm.Contracts,1,ContractUid
Crm.NotaryLists,Crm.NotaryResults,1,NotaryResultUid
Crm.NotaryLists,Crm.Users,3,"CreatedBy, DeletedBy, UpdatedBy"
Crm.NotaryResults,Crm.Groups,1,GroupUid
Crm.NotaryResults,Crm.Users,4,"ApproveControllerUid, CreatedBy, DeletedBy, UpdatedBy"
Crm.NotificationGroupSubscriber,Crm.NotificationGroups,1,GroupUid
Crm.NotificationGroupSubscriber,Crm.Reps,1,RepUid
Crm.NotificationGroupSubscriber,Crm.Users,3,"CreatedBy, DeletedBy, UpdatedBy"
Crm.NotificationGroups,Crm.Users,4,"CreatedBy, DeletedBy, LastSenderUid, UpdatedBy"
Crm.NotificationLogs,Crm.NotificationGroups,1,NotificationGroupUid
Crm.NotificationLogs,Crm.Users,3,"CreatedBy, DeletedBy, UpdatedBy"
Crm.NotificationVariables,Crm.Users,3,"CreatedBy, DeletedBy, UpdatedBy"
Crm.Occupations,Crm.Users,3,"CreatedBy, DeletedBy, UpdatedBy"
Crm.OffsetLogs,Crm.Customers,1,CustomerUid
Crm.OffsetLogs,Crm.Users,3,"CreatedBy, DeletedBy, UpdatedBy"
Crm.OnlineUsers,Crm.Users,3,"CreatedBy, DeletedBy, UpdatedBy"
Crm.Opportunities,Crm.Areas,1,CityUid
Crm.Opportunities,Crm.CustomerSources,1,CustomerSourceUid
Crm.Opportunities,Crm.Customers,2,"CustomerUid, CustomerUid1"
Crm.Opportunities,Crm.Leads,1,LeadUid
Crm.Opportunities,Crm.Occupations,1,OccupationUid
Crm.Opportunities,Crm.Portfolios,1,PortfolioUid
Crm.Opportunities,Crm.Users,3,"CreatedBy, DeletedBy, UpdatedBy"
Crm.OrganizationAreas,Crm.Areas,1,AreaUid
Crm.OrganizationAreas,Crm.Organizations,1,OrganizationUid
Crm.OrganizationAreas,Crm.Users,3,"CreatedBy, DeletedBy, UpdatedBy"
Crm.OrganizationHistories,Crm.Organizations,2,"OrganizationUid, ParentUid"
Crm.OrganizationHistories,Crm.Users,3,"CreatedBy, DeletedBy, UpdatedBy"
Crm.OrganizationMonthlyTargets,Crm.Organizations,1,OrganizationUid
Crm.OrganizationMonthlyTargets,Crm.Users,3,"CreatedBy, DeletedBy, UpdatedBy"
Crm.Organizations,Crm.Areas,4,"CityUid, CountryUid, HomeTownUid, TownUid"
Crm.Organizations,Crm.Firms,1,FirmUid
Crm.Organizations,Crm.Organizations,1,ParentUid
Crm.Organizations,Crm.Users,4,"CreatedBy, DeletedBy, ManagerUid, UpdatedBy"
Crm.Performances,Crm.Users,4,"CreatedBy, DeletedBy, UpdatedBy, UserUid"
Crm.PlannedPeriodicDeliveryAmounts,Crm.Users,3,"CreatedBy, DeletedBy, UpdatedBy"
Crm.Portfolios,Crm.Organizations,1,OrganizationUid
Crm.Portfolios,Crm.Users,3,"CreatedByUserUid, DeletedByUserUid, UpdatedByUserUid"
Crm.PosPayments,Crm.Contracts,1,ContractUid
Crm.PosPayments,Crm.Organizations,1,OrganizationUid
Crm.PosPayments,Crm.Users,3,"CreatedBy, DeletedBy, UpdatedBy"
Crm.PostVirmanQueues,Crm.Users,3,"CreatedBy, DeletedBy, UpdatedBy"
Crm.PremiumBranchRates,Crm.BranchCategories,1,BranchCategoryUid
Crm.PremiumBranchRates,Crm.Users,3,"CreatedBy, DeletedBy, UpdatedBy"
Crm.PremiumContracts,Crm.Contracts,1,ContractUid
Crm.PremiumContracts,Crm.PremiumTimings,1,PremiumTimingUid
Crm.PremiumContracts,Crm.Premiums,1,PremiumUid
Crm.PremiumContracts,Crm.Users,3,"CreatedBy, DeletedBy, UpdatedBy"
Crm.PremiumItems,Crm.Installments,1,InstallmentUid
Crm.PremiumItems,Crm.PremiumContracts,1,PremiumContractUid
Crm.PremiumItems,Crm.Premiums,1,PremiumUid
Crm.PremiumItems,Crm.Users,4,"CreatedBy, DeletedBy, OwnerUid, UpdatedBy"
Crm.PremiumTimingGroups,Crm.Users,3,"CreatedBy, DeletedBy, UpdatedBy"
Crm.PremiumTimings,Crm.PremiumTimingGroups,1,PremiumTimingGroupUid
Crm.PremiumTimings,Crm.Products,1,ProductUid
Crm.PremiumTimings,Crm.Users,3,"CreatedBy, DeletedBy, UpdatedBy"
Crm.PremiumUserTypeRates,Crm.Roles,1,RoleUid
Crm.PremiumUserTypeRates,Crm.Users,3,"CreatedBy, DeletedBy, UpdatedBy"
Crm.Premiums,Crm.BranchCategories,1,BranchCategoryUid
Crm.Premiums,Crm.Organizations,1,OrganizationUid
Crm.Premiums,Crm.PremiumTimingGroups,1,PremiumTimingGroupUid
Crm.Premiums,Crm.PremiumUserTypeRates,1,PremiumUserTypeRateUid
Crm.Premiums,Crm.Roles,1,RoleUid
Crm.Premiums,Crm.Users,4,"CreatedBy, DeletedBy, OwnerUid, UpdatedBy"
Crm.Products,Crm.Users,3,"CreatedBy, DeletedBy, UpdatedBy"
Crm.Products,Crm.VariableIndexGroups,1,VariableIndexGroupUid
Crm.QualityAnswers,Crm.Activities,1,ActivityUid
Crm.QualityAnswers,Crm.QualityForms,1,QualityFormUid
Crm.QualityAnswers,Crm.QualityQuestions,1,QualityQuestionUid
Crm.QualityAnswers,Crm.Users,4,"CreatedBy, DeletedBy, UpdatedBy, UserUid"
Crm.QualityForms,Crm.Users,4,"CreatedBy, DeletedBy, UpdatedBy, UserUid"
Crm.QualityNotes,Crm.Activities,1,ActivityUid
Crm.QualityNotes,Crm.QualityForms,1,QualityFormUid
Crm.QualityNotes,Crm.Users,3,"CreatedBy, DeletedBy, UpdatedBy"
Crm.QualityQuestions,Crm.QualityForms,1,QualityFormUid
Crm.QualityQuestions,Crm.Users,4,"CreatedBy, DeletedBy, UpdatedBy, UserUid"
Crm.RepCampaigns,Crm.Reps,1,RepUid
Crm.RepContracts,Crm.Contracts,1,ContractUid
Crm.RepContracts,Crm.Reps,1,RepUid
Crm.RepContracts,Crm.Users,3,"CreatedBy, DeletedBy, UpdatedBy"
Crm.RepGifts,Crm.Users,3,"CreatedBy, DeletedBy, UpdatedBy"
Crm.RepIbans,Crm.Reps,1,RepUid
Crm.RepIbans,Crm.Users,3,"CreatedBy, DeletedBy, UpdatedBy"
Crm.RepPaymentDetails,Crm.RepPayments,1,RepPaymentUid
Crm.RepPaymentDetails,Crm.RepPointLogs,1,RepPointLogUid
Crm.RepPaymentDetails,Crm.Users,3,"CreatedBy, DeletedBy, UpdatedBy"
Crm.RepPaymentGroups,Crm.Users,3,"CreatedBy, DeletedBy, UpdatedBy"
Crm.RepPayments,Crm.Reps,1,RepUid
Crm.RepPayments,Crm.Users,3,"CreatedBy, DeletedBy, UpdatedBy"
Crm.RepPointLogs,Crm.Activities,1,ActivityUid
Crm.RepPointLogs,Crm.Contracts,1,ContractUid
Crm.RepPointLogs,Crm.CustomerLogins,1,CustomerLoginUid
Crm.RepPointLogs,Crm.RepPoints,1,RepPointUid
Crm.RepPointLogs,Crm.Users,3,"CreatedBy, DeletedBy, UpdatedBy"
Crm.RepPoints,Crm.Users,3,"CreatedBy, DeletedBy, UpdatedBy"
Crm.Reps,Crm.Areas,2,"CityUid, TownUid"
Crm.Reps,Crm.Organizations,1,OrganizationUid
Crm.Reps,Crm.Portfolios,1,PortfolioUid
Crm.Reps,Crm.Reps,1,ParentUid
Crm.Reps,Crm.Users,4,"CreatedBy, DeletedBy, OwnerUserUid, UpdatedBy"
Crm.RestDays,Crm.Users,3,"CreatedBy, DeletedBy, UpdatedBy"
Crm.RiskTrackingCosts,Crm.Users,3,"CreatedBy, DeletedBy, UpdatedBy"
Crm.RiskTrackingLawyers,Crm.Users,3,"CreatedBy, DeletedBy, UpdatedBy"
Crm.RiskTrackings,Crm.Organizations,2,"OrganizationUid, RegionUid"
Crm.RiskTrackings,Crm.RiskTrackingLawyers,1,RiskTrackingLawyerUid
Crm.RiskTrackings,Crm.Users,3,"CreatedBy, DeletedBy, UpdatedBy"
Crm.RoleTargets,Crm.Roles,1,RoleUid
Crm.RoleTargets,Crm.Users,3,"CreatedBy, DeletedBy, UpdatedBy"
Crm.Roles,Crm.Users,3,"CreatedBy, DeletedBy, UpdatedBy"
Crm.ServiceConfigurations,Crm.Users,3,"CreatedByUserUid, DeletedByUserUid, UpdatedByUserUid"
Crm.ServiceRateRanges,Crm.Products,1,ProductUid
Crm.ServiceRateRanges,Crm.Users,3,"CreatedBy, DeletedBy, UpdatedBy"
Crm.Services,Crm.Users,3,"CreatedByUserUid, DeletedByUserUid, UpdatedByUserUid"
Crm.SetOffLogs,Crm.Customers,1,CustomerUid
Crm.SetOffLogs,Crm.Users,3,"CreatedBy, DeletedBy, UpdatedBy"
Crm.Simulations,Crm.Customers,1,CustomerUid
Crm.Simulations,Crm.Simulations,1,SimulationUid
Crm.Simulations,Crm.Users,4,"CreatedBy, DeletedBy, OwnerUid, UpdatedBy"
Crm.SmsGroups,Crm.SmsTemplates,1,SmsTemplateUid
Crm.SmsGroups,Crm.Users,3,"CreatedBy, DeletedBy, UpdatedBy"
Crm.SmsLogs,Crm.Contracts,1,ContractUid
Crm.SmsLogs,Crm.Customers,1,CustomerUid
Crm.SmsLogs,Crm.Leads,1,LeadUid
Crm.SmsLogs,Crm.Opportunities,1,OpportunityUid
Crm.SmsLogs,Crm.SmsGroups,1,SmsGroupUid
Crm.SmsLogs,Crm.Users,3,"CreatedBy, DeletedBy, UpdatedBy"
Crm.SmsTemplates,Crm.Users,3,"CreatedBy, DeletedBy, UpdatedBy"
Crm.SmsVerificationCodes,Crm.Leads,1,LeadUid
Crm.SmsVerificationCodes,Crm.Users,2,"DeletedBy, UpdatedBy"
Crm.SustainabilityFeatureValues,Crm.Users,3,"CreatedBy, DeletedBy, UpdatedBy"
Crm.SustainabilityReports,Crm.Contracts,1,ContractUid
Crm.SustainabilityReports,Crm.MortgagePledges,1,MortgagePledgeUid
Crm.SustainabilityReports,Crm.MortgageTypes,1,MortgageTypeUid
Crm.SustainabilityReports,Crm.Mortgages,1,MortgagesUid
Crm.SustainabilityReports,Crm.SustainabilityFeatureValues,1,FeatureValueUid
Crm.SustainabilityReports,Crm.Users,3,"CreatedBy, DeletedBy, UpdatedBy"
Crm.TicketHistories,Crm.Tickets,1,TicketUid
Crm.TicketHistories,Crm.Users,3,"CreatedBy, DeletedBy, UpdatedBy"
Crm.Tickets,Crm.Organizations,1,DepartmentUid
Crm.Tickets,Crm.Users,5,"CreatedBy, DeletedBy, OwnerUid, RequestingPersonUid +1"
Crm.UnauthorizedProcessLogs,Crm.Organizations,1,OrganizationUid
Crm.UnauthorizedProcessLogs,Crm.Users,4,"CreatedBy, DeletedBy, UpdatedBy, UserUid"
Crm.UserHistories,Crm.Organizations,1,OrganizationUid
Crm.UserHistories,Crm.Portfolios,1,PortfolioUid
Crm.UserHistories,Crm.Roles,1,RoleUid
Crm.UserHistories,Crm.Users,4,"CreatedBy, DeletedBy, UpdatedBy, UserUid"
Crm.UserPortfolios,Crm.Portfolios,1,PortfolioUid
Crm.UserPortfolios,Crm.Users,4,"CreatedBy, DeletedBy, UpdatedBy, UserUid1"
Crm.UserResponsibleBranches,Crm.Organizations,2,"BranchUid, OrganizationUid"
Crm.UserResponsibleBranches,Crm.Roles,1,RoleUid
Crm.UserResponsibleBranches,Crm.Users,4,"CreatedBy, DeletedBy, UpdatedBy, UserUid"
Crm.UserRoles,Crm.Roles,1,RoleUid
Crm.UserRoles,Crm.Users,4,"CreatedBy, DeletedBy, UpdatedBy, UserUid"
Crm.UserTargets,Crm.Users,4,"CreatedBy, DeletedBy, UpdatedBy, UserUid"
Crm.Users,Crm.Organizations,1,OrganizationUid
Crm.Users,Crm.Users,3,"CreatedBy, DeletedBy, UpdatedBy"
Crm.VariableIndexGroups,Crm.Users,3,"CreatedBy, DeletedBy, UpdatedBy"
Crm.VariableIndexs,Crm.Users,3,"CreatedBy, DeletedBy, UpdatedBy"
Crm.VariableIndexs,Crm.VariableIndexGroups,1,VariableIndexGroupUid
Crm.VirtualPosCommisions,Crm.Users,3,"CreatedBy, DeletedBy, UpdatedBy"
Crm.VirtualPosLogs,Crm.Users,3,"CreatedBy, DeletedBy, UpdatedBy"
