constraint,source_table,source_columns,target_table
FK_IssueHistories_Users_UpdatedBy,Crm.IssueHistories,UpdatedBy,Crm.Users
FK_Issues_Users_CreatedBy,Crm.Issues,CreatedBy,Crm.Users
FK_Issues_Users_DeletedBy,Crm.Issues,DeletedBy,Crm.Users
FK_Issues_Users_UpdatedBy,Crm.Issues,UpdatedBy,Crm.Users
FK_LeadForms_Users_CreatedBy,Crm.LeadForms,CreatedBy,Crm.Users
FK_LeadForms_Users_DeletedBy,Crm.LeadForms,DeletedBy,Crm.Users
FK_LeadForms_Users_UpdatedBy,Crm.LeadForms,UpdatedBy,Crm.Users
FK_LoginFaileds_Users_CreatedBy,Crm.LoginFaileds,CreatedBy,Crm.Users
FK_LoginFaileds_Users_DeletedBy,Crm.LoginFaileds,DeletedBy,Crm.Users
FK_Logins_Users_CreatedBy,Crm.Logins,CreatedBy,Crm.Users
FK_Logins_Users_DeletedBy,Crm.Logins,DeletedBy,Crm.Users
FK_Logins_Users_UpdatedBy,Crm.Logins,UpdatedBy,Crm.Users
FK_LogoLogs_Users_CreatedBy,Crm.LogoLogs,CreatedBy,Crm.Users
FK_LogoLogs_Users_DeletedBy,Crm.LogoLogs,DeletedBy,Crm.Users
FK_LogoLogs_Users_UpdatedBy,Crm.LogoLogs,UpdatedBy,Crm.Users
FK_LogoPayments_Users_CreatedBy,Crm.LogoPayments,CreatedBy,Crm.Users
FK_LogoPayments_Users_DeletedBy,Crm.LogoPayments,DeletedBy,Crm.Users
FK_LogoPayments_Users_UpdatedBy,Crm.LogoPayments,UpdatedBy,Crm.Users
FK_LogoServiceLogs_Users_CreatedBy,Crm.LogoServiceLogs,CreatedBy,Crm.Users
FK_LogoServiceLogs_Users_DeletedBy,Crm.LogoServiceLogs,DeletedBy,Crm.Users
FK_LogoServiceLogs_Users_UpdatedBy,Crm.LogoServiceLogs,UpdatedBy,Crm.Users
FK_ManuelLeadForCallCenterQueues_Users_CreatedBy,Crm.ManuelLeadForCallCenterQueues,CreatedBy,Crm.Users
FK_ManuelLeadForCallCenterQueues_Users_DeletedBy,Crm.ManuelLeadForCallCenterQueues,DeletedBy,Crm.Users
FK_ManuelLeadForCallCenterQueues_Users_UpdatedBy,Crm.ManuelLeadForCallCenterQueues,UpdatedBy,Crm.Users
FK_MobileApplicationConfigurations_Users_CreatedBy,Crm.MobileApplicationConfigurations,CreatedBy,Crm.Users
FK_MobileApplicationConfigurations_Users_DeletedBy,Crm.MobileApplicationConfigurations,DeletedBy,Crm.Users
FK_MobileApplicationConfigurations_Users_UpdatedBy,Crm.MobileApplicationConfigurations,UpdatedBy,Crm.Users
FK_MobileConfigurationSettings_Users_CreatedBy,Crm.MobileConfigurationSettings,CreatedBy,Crm.Users
FK_MobileConfigurationSettings_Users_DeletedBy,Crm.MobileConfigurationSettings,DeletedBy,Crm.Users
FK_MobileConfigurationSettings_Users_UpdatedBy,Crm.MobileConfigurationSettings,UpdatedBy,Crm.Users
FK_MobilePhoneNumbers_Users_CreatedBy,Crm.MobilePhoneNumbers,CreatedBy,Crm.Users
FK_MobilePhoneNumbers_Users_DeletedBy,Crm.MobilePhoneNumbers,DeletedBy,Crm.Users
FK_MobilePhoneNumbers_Users_UpdatedBy,Crm.MobilePhoneNumbers,UpdatedBy,Crm.Users
FK_ModuleAuths_Users_CreatedBy,Crm.ModuleAuths,CreatedBy,Crm.Users
FK_ModuleAuths_Users_DeletedBy,Crm.ModuleAuths,DeletedBy,Crm.Users
FK_ModuleAuths_Users_UpdatedBy,Crm.ModuleAuths,UpdatedBy,Crm.Users
FK_Modules_Users_CreatedBy,Crm.Modules,CreatedBy,Crm.Users
FK_Modules_Users_DeletedBy,Crm.Modules,DeletedBy,Crm.Users
FK_Modules_Users_UpdatedBy,Crm.Modules,UpdatedBy,Crm.Users
FK_MortgageCosts_Users_CreatedBy,Crm.MortgageCosts,CreatedBy,Crm.Users
FK_MortgageCosts_Users_DeletedBy,Crm.MortgageCosts,DeletedBy,Crm.Users
